id,name,latitude,longitude,route_ids,route_names,first_arrival,last_departure,service_ids
23,Rajdhani Park,28.682217,77.043869,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:22:24,23:27:09,weekday
24,Nangloi Railway Station,28.682091,77.05619,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:24:45,23:24:40,weekday
25,Nangloi,28.682356,77.064728,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:22:35,23:22:30,weekday
26,Maharaja Surajmal Stadium,28.681833,77.073891,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:20:30,23:20:25,weekday
27,Udyog Nagar,28.681047,77.078674,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:18:35,23:18:30,weekday
28,Peera Garhi,28.67972,77.092491,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:16:20,23:20:38,weekday
29,Paschim Vihar (West),28.678539,77.102119,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:14:05,23:22:53,weekday
30,Paschim Vihar (East),28.677305,77.112251,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:12:25,23:24:33,weekday
31,Madipur,28.676418,77.117294,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:10:05,23:26:53,weekday
32,Shivaji Park,28.674965,77.128258,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:07:55,23:29:03,weekday
33,Punjabi Bagh,28.672943,77.146011,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:05:15,23:31:43,weekday
34,Ashok Park Main,28.671572,77.155159,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:02:50,23:34:08,weekday
35,Satguru Ram Singh Marg,28.662188,77.157829,"25,7","G_KB,G_KB_R",06:02:00,23:37:33,weekday
36,Samaypur Badli,28.742872,77.146545,"2,20","Y_HS,Y_HS_R",05:50:00,25:13:21,weekday
37,Rohini Sector 18-19,28.740192,77.135574,"2,20","Y_HS,Y_HS_R",05:52:31,25:10:50,weekday
38,Haiderpur Badli Mor,28.718657,77.149956,"2,20","Y_HS,Y_HS_R",05:55:47,25:07:34,weekday
39,Jahangirpuri,28.72818,77.16124,"2,20","Y_HS,Y_HS_R",05:58:13,25:05:08,weekday
40,Adarsh Nagar,28.696377,77.208809,"2,20","Y_HS,Y_HS_R",06:00:46,25:02:35,weekday
41,Azadpur,28.707287,77.179863,"11,2,20,29","P_MS,P_MS_R,Y_HS,Y_HS_R",06:03:21,25:02:38,weekday
42,Model Town,28.702833,77.193764,"2,20","Y_HS,Y_HS_R",06:05:54,24:57:27,weekday
43,Guru Tegh Bahadur Nagar,28.698195,77.206985,"2,20","Y_HS,Y_HS_R",06:08:18,24:55:03,weekday
44,Vishwavidyalaya,28.694765,77.212418,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",06:00:00,24:52:47,weekday
45,Vidhan Sabha,28.687845,77.221626,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",06:02:32,24:50:15,weekday
46,Civil Lines,28.676945,77.224953,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",06:04:19,24:47:54,weekday
47,Chandni Chowk,28.656443,77.229218,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:59:13,24:42:48,weekday
48,Chawri Bazar,28.649635,77.22628,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:56:41,24:40:16,weekday
49,New Delhi,28.642944,77.222351,"14,2,20,21,3,32","O_DN,O_DN_R,Y_HS,Y_HS_R,Y_QV,Y_QV_R",04:45:00,24:38:11,weekday
50,Rajiv Chowk,28.632896,77.219574,"2,20,21,23,24,3,5,6","B_DN,B_DN_R,B_DV,B_DV_R,Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:51:46,24:35:21,weekday
51,Patel Chowk,28.622967,77.212288,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:49:13,24:32:48,weekday
52,Central Secretariat,28.614973,77.212029,"10,2,20,21,27,28,3,9","V_KB,V_KB_R,V_KR,V_KR_R,Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:47:04,24:30:39,weekday
53,Udyog Bhawan,28.611525,77.210052,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:45:12,24:28:47,weekday
54,Lok Kalyan Marg,28.597519,77.209122,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:42:41,24:26:16,weekday
55,Jorbagh,28.587234,77.212662,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:40:13,24:23:48,weekday
56,Dilli Haat - INA,28.575195,77.209473,"11,2,20,21,29,3","P_MS,P_MS_R,Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:37:45,24:21:20,weekday
57,AIIMS,28.568199,77.207947,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:35:32,24:19:07,weekday
58,Green Park,28.559853,77.206902,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:33:12,24:16:47,weekday
59,Hauz Khas,28.543346,77.206673,"12,2,20,21,3,30","M_JB,M_JB_R,Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:30:08,24:15:18,weekday
60,Malviya Nagar,28.52817,77.205612,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:27:02,24:18:24,weekday
61,Saket,28.520638,77.199379,"2,20,21,3","Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:23:35,24:21:51,weekday
62,Qutab Minar,28.512714,77.185791,"2,20,21,22,3,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R,Y_QV,Y_QV_R",05:20:25,24:25:01,weekday
63,Chhattarpur,28.506584,77.174866,"2,20,22,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",05:52:30,24:27:39,weekday
64,Sultanpur,28.499214,77.161362,"2,20,22,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",05:55:21,24:30:30,weekday
65,Ghitorni,28.49383,77.149071,"2,20,22,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",05:57:48,24:32:57,weekday
66,Arjan Garh,28.48082,77.12587,"2,20,22,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",06:01:22,24:36:31,weekday
67,Gurudronacharya,28.482075,77.102219,"2,20,22,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",06:01:58,24:40:07,weekday
68,Sikanderpur,28.481352,77.092995,"15,2,20,22,33,4","R_SP,R_SP_R,Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",05:59:52,24:42:13,weekday
69,MG Road,28.47967,77.080444,"2,20,22,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",05:57:25,24:44:40,weekday
70,IFFCO Chowk,28.472137,77.072502,"2,20,22,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",05:54:45,24:47:20,weekday
71,Huda City Centre,28.459118,77.072586,"2,20,22,4","Y_HQ,Y_HQ_R,Y_HS,Y_HS_R",05:52:25,24:49:40,weekday
72,Vaishali,28.650059,77.337608,"24,6","B_DV,B_DV_R",06:00:00,24:39:55,weekday
73,Kaushambi,28.645428,77.322273,"24,6","B_DV,B_DV_R",06:02:55,24:37:00,weekday
74,Anand Vihar,28.647005,77.316185,"11,24,29,6","B_DV,B_DV_R,P_MS,P_MS_R",06:05:11,24:40:20,weekday
75,Karkarduma,28.648653,77.304581,"11,24,29,6","B_DV,B_DV_R,P_MS,P_MS_R",06:07:24,24:42:33,weekday
76,Preet Vihar,28.641352,77.295158,"24,6","B_DV,B_DV_R",06:09:49,24:30:06,weekday
77,Nirman Vihar,28.637049,77.287872,"24,6","B_DV,B_DV_R",06:11:54,24:28:01,weekday
78,Laxmi Nagar,28.629843,77.276428,"24,6","B_DV,B_DV_R",06:14:14,24:25:41,weekday
79,Noida City Centre,28.574593,77.356117,"23,5","B_DN,B_DN_R",05:59:23,24:29:27,weekday
80,Golf Course,28.566917,77.345726,"23,5","B_DN,B_DN_R",06:01:41,24:27:09,weekday
81,Botanical Garden,28.564198,77.334656,"12,23,30,5","B_DN,B_DN_R,M_JB,M_JB_R",06:00:00,24:24:35,weekday
82,Noida Sec -18,28.570843,77.326088,"23,5","B_DN,B_DN_R",06:06:25,24:22:25,weekday
83,Noida Sec -16,28.577921,77.318115,"23,5","B_DN,B_DN_R",06:08:42,24:20:08,weekday
84,Noida Sec -15,28.585018,77.311584,"23,5","B_DN,B_DN_R",06:10:45,24:18:05,weekday
85,New Ashok Nagar,28.58847,77.30146,"23,5","B_DN,B_DN_R",06:13:06,24:15:44,weekday
86,Mayur Vihar Ext,28.594124,77.294495,"23,5","B_DN,B_DN_R",06:15:17,24:13:33,weekday
87,Mayur Vihar-I,28.604425,77.289421,"11,23,29,5","B_DN,B_DN_R,P_MS,P_MS_R",06:17:34,24:23:16,weekday
88,Akshardham,28.618364,77.279816,"23,5","B_DN,B_DN_R",06:20:30,24:08:20,weekday
89,Yamuna Bank,28.623178,77.267937,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:17:24,24:22:31,weekday
90,Indraprastha,28.620272,77.250076,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:20:38,24:19:17,weekday
91,Supreme Court,28.623438,77.2425,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:22:48,24:17:07,weekday
92,Mandi House,28.625816,77.234726,"10,23,24,27,28,5,6,9","B_DN,B_DN_R,B_DV,B_DV_R,V_KB,V_KB_R,V_KR,V_KR_R",06:12:04,24:14:47,weekday
93,Barakhamba,28.629662,77.224876,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:27:23,24:12:32,weekday
94,RK Ashram Marg,28.639217,77.206291,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:32:49,24:07:06,weekday
95,Jhandewalan,28.644312,77.199791,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:35:02,24:09:05,weekday
96,Karol Bagh,28.643925,77.188416,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:37:20,24:11:23,weekday
97,Rajendra Place,28.64241,77.191833,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:39:38,24:13:41,weekday
98,Patel Nagar,28.645037,77.167046,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:41:50,24:15:53,weekday
99,Shadipur,28.65143,77.156021,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:44:27,24:18:30,weekday
100,Kirti Nagar,28.655773,77.148499,"23,24,25,5,6,7","B_DN,B_DN_R,B_DV,B_DV_R,G_KB,G_KB_R",06:00:00,24:20:56,weekday
101,Moti Nagar,28.657803,77.140488,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:46:39,24:23:15,weekday
102,Ramesh Nagar,28.652809,77.131462,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:44:19,24:25:35,weekday
103,Rajouri Garden,28.649157,77.122749,"11,23,24,29,5,6","B_DN,B_DN_R,B_DV,B_DV_R,P_MS,P_MS_R",06:21:42,24:44:53,weekday
104,Tagore Garden,28.643795,77.112747,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:40:00,24:29:54,weekday
105,Subash Nagar,28.640381,77.10273,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:37:58,24:31:56,weekday
106,Tilak Nagar,28.636568,77.096336,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:35:57,24:33:57,weekday
107,Janak Puri East,28.633121,77.086578,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:33:43,24:36:11,weekday
108,Janak Puri West,28.629637,77.077866,"12,23,24,30,5,6","B_DN,B_DN_R,B_DV,B_DV_R,M_JB,M_JB_R",05:40:00,24:38:16,weekday
109,Uttam Nagar East,28.624643,77.063126,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:29:01,24:40:53,weekday
110,Uttam Nagar West,28.621672,77.055664,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:26:56,24:42:58,weekday
111,Nawada,28.620222,77.044991,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:24:36,24:45:18,weekday
112,Dwarka Mor,28.619366,77.033188,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:22:21,24:47:33,weekday
113,Dwarka,28.614899,77.022629,"13,23,24,31,5,6","B_DN,B_DN_R,B_DV,B_DV_R,G_DD,G_DD_R",06:00:00,24:50:48,weekday
114,Dwarka Sector - 14,28.602232,77.02594,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:16:21,24:53:33,weekday
115,Dwarka Sector - 13,28.59705,77.033043,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:14:17,24:55:37,weekday
116,Dwarka Sector - 12,28.592234,77.040558,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:12:17,24:57:37,weekday
117,Dwarka Sector - 11,28.58642,77.049255,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:09:57,24:59:57,weekday
118,Dwarka Sector - 10,28.581108,77.05719,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:07:50,25:02:04,weekday
119,Dwarka Sector - 9,28.574284,77.065086,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:05:30,25:04:24,weekday
120,Dwarka Sector - 8,28.565706,77.064896,"23,24,5,6","B_DN,B_DN_R,B_DV,B_DV_R",06:03:22,25:06:32,weekday
121,Dwarka Sector - 21,28.552322,77.056198,"14,23,24,32,5,6","B_DN,B_DN_R,B_DV,B_DV_R,O_DN,O_DN_R",04:45:00,25:09:54,weekday
122,ITO,28.627205,77.240952,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:09:59,24:16:18,weekday
123,Janpath,28.627817,77.218956,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:15:43,24:10:34,weekday
124,Khan Market,28.602682,77.228096,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:21:18,24:04:59,weekday
125,Jawahar Lal Nehru Stadium,28.590475,77.23307,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:24:15,24:02:02,weekday
126,Jangpura,28.583231,77.239662,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:26:42,23:59:35,weekday
127,Lajpat Nagar,28.570705,77.233124,"10,11,27,28,29,9","P_MS,P_MS_R,V_KB,V_KB_R,V_KR,V_KR_R",06:29:39,24:13:23,weekday
128,Moolchand,28.564629,77.234222,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:27:28,23:54:18,weekday
129,Kailash Colony,28.554617,77.239738,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:24:47,23:55:48,weekday
130,Nehru Place,28.551134,77.251511,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:22:08,23:58:27,weekday
131,Kalkaji Mandir,28.549532,77.258789,"10,12,27,28,30,9","M_JB,M_JB_R,V_KB,V_KB_R,V_KR,V_KR_R",06:19:49,24:00:46,weekday
132,Govind Puri,28.544413,77.264259,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:17:31,24:03:04,weekday
133,Harkesh Nagar Okhla,28.543194,77.275955,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:14:16,24:06:19,weekday
134,Jasola-Apollo,28.538084,77.285538,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:11:34,24:09:01,weekday
135,Sarita Vihar,28.528622,77.288345,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:08:52,24:11:43,weekday
136,Mohan Estate,28.51959,77.294518,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:06:17,24:14:18,weekday
137,Tughlakabad Station,28.502232,77.29866,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:02:45,24:17:50,weekday
138,Badarpur Border,28.4932,77.30085,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:00:00,24:20:35,weekday
139,Sarai,28.47794,77.304932,"10,28","V_KR,V_KR_R",06:09:22,24:23:43,weekday
140,NHPC Chowk,28.462435,77.305252,"10,28","V_KR,V_KR_R",06:06:15,24:26:50,weekday
141,Mewala Maharajpur,28.4485,77.308098,"10,28","V_KR,V_KR_R",06:04:00,24:29:05,weekday
142,Sector-28,28.440586,77.305992,"10,28","V_KR,V_KR_R",06:01:44,24:31:21,weekday
143,Badkal Mor,28.422707,77.310234,"10,28","V_KR,V_KR_R",05:59:07,24:33:58,weekday
144,Old Faridabad,28.412172,77.311272,"10,28","V_KR,V_KR_R",05:56:35,24:36:30,weekday
145,Neelam Chowk Ajronda,28.400707,77.309105,"10,28","V_KR,V_KR_R",05:54:07,24:38:58,weekday
146,Bata Chowk,28.386362,77.298782,"10,28","V_KR,V_KR_R",05:51:30,24:41:35,weekday
147,Escorts Mujesar,28.370199,77.315002,"10,28","V_KR,V_KR_R",05:48:40,24:44:25,weekday
148,Sikanderpur (Rapid Metro),28.480833,77.094246,"15,33","R_SP,R_SP_R",06:19:40,24:12:21,weekday
149,Phase 2 (Rapid Metro),28.488371,77.092865,"15,33","R_SP,R_SP_R",06:13:20,24:18:41,weekday
150,Belvedere Towers (Rapid Metro),28.492065,77.088142,"15,33","R_SP,R_SP_R",06:10:00,24:31:01,weekday
151,Cyber City (Rapid Metro),28.498478,77.089088,"15,33","R_SP,R_SP_R",06:06:40,24:37:21,weekday
152,Moulsari Avenue (Rapid Metro),28.501572,77.094536,"15,33","R_SP,R_SP_R",06:03:20,24:49:41,weekday
153,Phase 3 (Rapid Metro),28.494329,77.093552,"15,33","R_SP,R_SP_R",06:00:00,25:02:01,weekday
154,IGI Airport,28.554869,77.087921,"14,32","O_DN,O_DN_R",04:49:21,23:58:45,weekday
155,Delhi Aerocity,28.548792,77.120743,"14,32","O_DN,O_DN_R",04:55:46,23:52:20,weekday
156,Dhaula Kuan,28.591776,77.161545,"14,32","O_DN,O_DN_R",04:54:57,23:45:17,weekday
157,Shivaji Stadium,28.629007,77.209213,"14,32","O_DN,O_DN_R",04:48:20,23:39:46,weekday
158,Delhi Gate,28.640488,77.240303,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:07:41,24:18:36,weekday
159,Jama Masjid,28.650393,77.237556,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:05:02,24:21:15,weekday
160,Lal Quila,28.657576,77.236595,"10,27,28,9","V_KB,V_KB_R,V_KR,V_KR_R",06:03:09,24:23:08,weekday
161,Okhla Bird Sanctuary,28.552816,77.321564,"12,30","M_JB,M_JB_R",06:03:52,24:10:15,weekday
162,Kalindi Kunj,28.542835,77.310173,"12,30","M_JB,M_JB_R",06:06:47,24:07:20,weekday
163,Jasola Vihar Shaheen Bagh,28.546005,77.296715,"12,30","M_JB,M_JB_R",06:10:19,24:03:48,weekday
164,Okhla Vihar,28.561255,77.291916,"12,30","M_JB,M_JB_R",06:13:40,24:00:27,weekday
165,Jamia Millia Islamia,28.562944,77.286209,"12,30","M_JB,M_JB_R",06:16:27,23:57:40,weekday
166,Sukhdev Vihar,28.559887,77.275116,"12,30","M_JB,M_JB_R",06:19:20,23:54:47,weekday
167,Okhla NSIC,28.554575,77.26487,"12,30","M_JB,M_JB_R",06:21:58,23:52:09,weekday
168,Phase-I (Rapid Metro),28.471981,77.094009,"15,33","R_SP,R_SP_R",06:24:20,24:07:41,weekday
169,Sector 42-43 (Rapid Metro),28.458475,77.09684,"15,33","R_SP,R_SP_R",06:27:40,24:04:21,weekday
170,Sector 53-54 (Rapid Metro),28.447533,77.100487,"15,33","R_SP,R_SP_R",06:26:11,24:01:01,weekday
171,Sector 54 Chowk (Rapid Metro),28.434212,77.104782,"15,33","R_SP,R_SP_R",06:22:51,23:57:41,weekday
172,Sector 55-56 (Rapid Metro),28.424587,77.105042,"15,33","R_SP,R_SP_R",06:19:31,23:54:21,weekday
173,Majlis Park,28.724157,77.182068,"11,29","P_MS,P_MS_R",06:00:00,25:06:35,weekday
174,Shalimar Bagh,28.70182,77.165184,"11,29","P_MS,P_MS_R",06:06:57,24:59:38,weekday
175,Shakurpur,28.685781,77.149651,"11,29","P_MS,P_MS_R",06:12:26,24:54:09,weekday
176,Punjabi Bagh West,28.672747,77.139183,"11,29","P_MS,P_MS_R",06:16:17,24:50:18,weekday
177,ESI Basai Darapur,28.658159,77.127319,"11,29","P_MS,P_MS_R",06:19:27,24:47:08,weekday
178,Mayapuri,28.637098,77.129738,"11,29","P_MS,P_MS_R",06:24:55,24:41:40,weekday
179,Naraina Vihar,28.624121,77.136482,"11,29","P_MS,P_MS_R",06:28:13,24:38:22,weekday
180,Delhi Cantt.,28.608641,77.140373,"11,29","P_MS,P_MS_R",06:31:32,24:35:03,weekday
181,Durgabai Deshmukh South Campus,28.589376,77.169518,"11,29","P_MS,P_MS_R",06:36:57,24:29:38,weekday
182,Nehru Enclave,28.545856,77.25116,"12,30","M_JB,M_JB_R",06:21:41,23:47:56,weekday
183,Greater Kailash,28.541836,77.238243,"12,30","M_JB,M_JB_R",06:19:02,23:45:17,weekday
184,Chirag Delhi,28.541229,77.229385,"12,30","M_JB,M_JB_R",06:16:57,23:43:12,weekday
185,Panchsheel Park,28.542339,77.220512,"12,30","M_JB,M_JB_R",06:14:53,23:41:08,weekday
186,IIT,28.547194,77.193832,"12,30","M_JB,M_JB_R",06:09:50,23:44:02,weekday
187,RK Puram,28.550486,77.184952,"12,30","M_JB,M_JB_R",06:07:42,23:46:10,weekday
188,Munirka,28.557821,77.174026,"12,30","M_JB,M_JB_R",06:05:02,23:48:50,weekday
189,Vasant Vihar,28.558378,77.160774,"12,30","M_JB,M_JB_R",06:02:10,23:51:42,weekday
190,Shankar Vihar,28.560787,77.140442,"12,30","M_JB,M_JB_R",05:59:02,23:54:50,weekday
191,Terminal 1- IGI Airport,28.565275,77.122391,"12,30","M_JB,M_JB_R",05:55:37,23:58:15,weekday
192,Sadar Bazar Contonment,28.577108,77.111305,"12,30","M_JB,M_JB_R",05:52:23,24:01:29,weekday
193,Palam,28.589067,77.082954,"12,30","M_JB,M_JB_R",05:48:29,24:05:23,weekday
194,Dashrath Puri,28.602333,77.08255,"12,30","M_JB,M_JB_R",05:45:56,24:07:56,weekday
195,Dabri Mor - Janakpuri South,28.615904,77.085258,"12,30","M_JB,M_JB_R",05:42:55,24:10:57,weekday
196,Mundka Industrial Area (M.I.A),28.68396,76.989822,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:17:34,23:31:59,weekday
197,Ghevra Metro station,28.685289,76.993584,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:14:34,23:34:59,weekday
198,Tikri Kalan,28.686899,76.977249,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:11:30,23:38:03,weekday
199,Tikri Border,28.687876,76.963783,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:08:53,23:40:40,weekday
200,Pandit Shree Ram Sharma,28.689213,76.951088,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:06:16,23:43:17,weekday
201,Bahadurgarh City,28.690784,76.935265,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:03:19,23:46:14,weekday
202,Brigadier Hoshiyar Singh,28.697428,76.919128,"25,26,7,8","G_IB,G_IB_R,G_KB,G_KB_R",06:00:00,23:49:33,weekday
203,Sir Vishweshwaraiah Moti Bagh,28.578529,77.175713,"11,29","P_MS,P_MS_R",06:39:36,24:26:59,weekday
204,Bhikaji Cama Place,28.570208,77.187866,"11,29","P_MS,P_MS_R",06:42:31,24:24:04,weekday
205,Sarojini Nagar,28.570208,77.187866,"11,29","P_MS,P_MS_R",06:45:04,24:21:31,weekday
206,South Extension,28.5686,77.219818,"11,29","P_MS,P_MS_R",06:50:02,24:16:33,weekday
